id,name,age,city,last_seen_at
64,Jamie Wade,15,Shreveport,1507691719212
65,Alaya Clarke,86,Garland,1508051321927
66,Meredith Savage,98,Lakewood,1507949602736
67,Casen Vasquez,39,Lincoln,1507931911843
68,Gabriel Garrett,96,Washington,1508072809652
69,Tenley Harper,44,Bakersfield,1508104544759
70,Miracle Kennedy,39,Nashville,1507694359251
71,Adrien Tillman,41,Raleigh,1507701762313
72,Jase Moody,27,Mobile,1507857667401
73,Eden Rojas,98,Peoria,1507914977982
74,Aron Mccormick,26,San Diego,1507895234373
75,Sabrina Brooks,89,Little Rock,1507981293107
76,Catalina Fry,86,Dallas,1508142126885
77,Courtney West,19,Chula Vista,1507923645238
78,Elle Morales,24,Savannah,1507633914951
79,Melanie Blanchard,95,San Jose,1508082864403
80,Ezekiel Clayton,27,Minneapolis,1508176189594
81,Campbell Hicks,73,Scottsdale,1507749755885
82,Carissa Deleon,56,Oxnard,1507888834398
83,Lara Rose,53,Worcester,1507781623871
84,Justin Watts,14,Manchester,1508100393292
85,Juliet Clarke,63,Houston,1507743489613
86,Emily David,49,Bellevue,1507895312654
87,Philip Cook,31,Birmingham,1507687334346
88,Clara Nixon,63,Washington,1508183800581
89,Anya Wiley,73,Chicago,1507729116969
90,Jack Miranda,60,Corpus Christi,1507804187155
91,Konner Lynch,39,Murfreesboro,1507998437164
92,Stephen Frost,94,Fresno,1507961699519
93,Keegan Cortez,54,Portland,1508051517923
94,Brooke Schroeder,65,Kansas City,1508167049360
95,Lyric Mosley,26,Las Vegas,1507618363864
96,Londyn Marsh,86,Colorado Springs,1508037529991
97,Kaydence Salazar,35,Aurora,1508077506468
98,Zariyah Acosta,61,Omaha,1507862191588
99,Kaelyn Gilliam,27,Las Vegas,1508062278519
100,Brittany Dyer,95,Coral Springs,1507780477372
101,Franklin Horton,23,Los Angeles,1507789244204
102,Elian Witt,93,Syracuse,1507864257498
103,Giovani Johnson,36,Albuquerque,1507737702058
104,Scarlet Patton,19,North Las Vegas,1507727809039
105,Ty Graham,36,Boise City,1507667272971
106,Dimitri Beard,23,Miami,1508133289478
107,Lina Walton,36,Oxnard,1508160874561
108,Kali Maynard,14,Charleston,1508169655755
109,Nikolai Dawson,59,Clarksville,1507876200159
110,Itzel Osborne,73,Akron,1507645440983
111,Juan Pacheco,61,Washington,1507857010981
112,Rylen Harper,69,Oklahoma City,1508103954605
113,Elliot Everett,34,Miami,1508100979496
114,Makenna Lee,94,Indianapolis,1508134380334
115,Lillie Jenkins,43,Jacksonville,1508144349337
116,Lexi Blackwell,48,Ann Arbor,1508001830687
117,Jamari Justice,73,Columbus,1507999923068
118,Salma Hurst,47,Des Moines,1507931386530
119,Andrea Ratliff,86,Thornton,1508159346723
120,Wendy Vang,95,Henderson,1507839954384
121,Alexander Fields,14,Thornton,1508175766466
122,Corbin Sargent,77,New Orleans,1508039102711
123,Aliza Dotson,16,Lexington,1507692866723
124,Anders Stanley,59,San Bernardino,1508098597916
125,Braiden Jacobson,83,Santa Ana,1508144311342
126,Gracelynn Tucker,65,Madison,1507730158235
127,Mekhi Wilcox,74,Los Angeles,1507871804759
128,Kinley Carey,39,Stockton,1507921437549
129,Victoria Meadows,14,Atlanta,1508027464065
130,Moses Fields,25,New York,1507824330205
131,Daniel Farrell,36,Fresno,1508182300461
132,Aden Bennett,62,Chula Vista,1507832709215
133,Carissa Giles,100,Santa Ana,1508191023771
134,Ralph Mcfarland,58,San Diego,1507840550613
135,Hayleigh Doyle,76,Mesa,1507847413405
136,Grant Kirby,28,Aurora,1507807892711
137,Rylee Willis,61,San Antonio,1507794020593
138,Ainsley James,61,Montpelier,1507724089552
139,London Barnett,50,Clarksville,1507827541426
140,Kaylee Chaney,30,Richmond,1507649978867
141,Phillip Solis,58,Nashville,1507755258619
142,Erick Henson,74,Des Moines,1508010861848
143,Daphne Downs,20,Tulsa,1507633060321
144,Lydia Romero,93,Montgomery,1507678114418
145,Turner Deleon,56,Hartford,1507694379994
146,Kyndall Mosley,75,Virginia Beach,1508117108175
147,Dexter Padilla,42,Lincoln,1507925112221
148,Karen Wagner,20,San Jose,1508035542538
149,Jamie Santiago,43,Portland,1508180282096
150,Leigha Logan,36,Denver,1507811277183
151,Johnathon Cooper,63,Coral Springs,1507830670538
152,Kaya Mcmahon,79,Tallahassee,1508007318754
153,Raquel Dillard,27,Kansas City,1508102783431
154,Jessie Roberts,46,Yonkers,1508069146743
155,Ava Estrada,56,Savannah,1507770097506
156,Philip Lester,64,Peoria,1508173942535
157,Anderson Flores,90,Savannah,1508023731662
158,Jaylee Horne,61,Syracuse,1507715654579
159,Lila Todd,68,Fontana,1507964324500
160,Sabrina Hull,83,Boise City,1508120329734
161,Pearl Romero,54,Atlanta,1508166323801
162,Karlie Levy,28,Lincoln,1507994567974
163,Gracelyn Robles,13,Surprise,1507926774500
164,Virginia Patrick,87,Gilbert,1507765591532
165,Camilla Roach,18,Portland,1508102480371
166,Allan Lott,29,Grand Rapids,1507859963605
167,Corinne Farmer,94,Spokane,1507777682734
168,Noah Cochran,39,Springfield,1507956977856
169,Joey Odom,55,Peoria,1507644498998
170,Sebastian Hurst,72,Lexington,1507926118784
171,Taylor Lewis,23,Allentown,1507883302944
172,Sasha Long,54,New York,1508127076499
173,Autumn Lynn,16,Peoria,1508104911150
174,Warren Wilkins,85,Madison,1508087554344
175,Brendon Caldwell,63,Hampton,1507641052314
176,Tyrell Conway,35,Warren,1507776749736
177,Yazmin Miles,98,Salem,1507772737120
178,Theodore Harrell,37,North Las Vegas,1507874978890
179,Jolene Cantrell,50,Little Rock,1508174273930
180,Renata Fletcher,27,Chicago,1507762026301
181,Aaden Malone,41,Olathe,1507902312465
182,Jonah Fuentes,35,Columbus,1507612230553
183,Nayeli Reed,28,Tempe,1507624376169
184,Kendrick Crosby,47,Tampa,1507675466159
185,Remington Bentley,86,Chattanooga,1507889188338
186,Ariella Simpson,45,Coral Springs,1507851212575
187,Cortez Dunn,14,Spokane,1508045934525
188,Rachel David,32,Kent,1508113641828
189,Jaycob Pacheco,20,Oklahoma City,1507744142128
190,Allison Harding,53,Gainesville,1508067513031
191,Miranda Grant,97,Riverside,1507633939769
192,Aniya Frost,89,Nashville,1507735362478
193,Danna Bennett,17,Orlando,1507733324009
194,Brianna Hodges,87,Augusta,1508008214774
195,Emery Horton,31,New York,1507924462262
196,Adalynn Ballard,79,Fontana,1507693316914
197,Valentina Boyer,82,Oxnard,1508089900557
198,Amir Ratliff,83,Charleston,1507974926761
199,Leyla Clayton,21,Durham,1507866326732
200,Tess Lancaster,36,Toledo,1507712728238
201,Gianna Reilly,88,Cincinnati,1507912519560
202,Hendrix Nolan,23,Columbus,1507704680923
203,Valeria Bright,68,Murfreesboro,1508183381995
204,Brisa Padilla,87,Fort Lauderdale,1507670082658
205,Savanna Bradford,74,St. Louis,1508115797383
206,Nathaly Sutton,71,Baltimore,1507773527941
207,Mollie Waller,64,Cary,1508074417711
208,Mike Gibbs,88,Dayton,1508032512451
209,Beatrice Warren,53,Jacksonville,1508007340721
210,Axel Zimmerman,89,Norman,1507645918636
211,Abril Estrada,85,Lakewood,1507941457696
212,Grant Castaneda,34,Paterson,1508034035353
213,Cheyenne Beasley,66,Cedar Rapids,1507846708136
214,Kenneth Bentley,96,Chesapeake,1508188399413
215,Haleigh Finley,57,Albuquerque,1507795565224
216,Jared Cooper,22,Tempe,1507718835484
217,Lisa Gonzales,84,Rockford,1507606174607
218,Mikaela Avery,63,Fargo,1507871645138
219,Layla Allen,56,Boise City,1508087373649
220,Harley Hill,28,Gilbert,1507933519512
221,Harley Coffey,95,Syracuse,1507847656298
222,Kiana Summers,41,Houston,1507678867266
223,Caylee Gill,66,Lincoln,1507858104286
224,Elisabeth Copeland,89,San Francisco,1507986201779
225,Will Gibbs,16,Fayetteville,1507742940239
226,Josephine Cardenas,36,Providence,1507820358950
227,Nora Owens,35,Boise City,1507684061136
228,Rylan Kelly,47,Chesapeake,1507779753800
229,Natalia Austin,34,Greensboro,1507942267938
230,Hazel Griffith,32,Las Vegas,1507811507413
231,Sam Griffith,37,Rockford,1507632573364
232,Sawyer Saunders,79,Murfreesboro,1507673750389
233,Timothy Berry,21,Portland,1507795986840
234,Harmony Potts,19,Bridgeport,1507924377548
235,Branson Harrington,51,Glendale,1508193944591
236,Douglas Ayala,67,Reno,1508082465019
237,Fisher Garcia,54,Kansas City,1507999185952
238,Aniyah Webb,13,Reno,1508191665348
239,Justus Beasley,61,Coral Springs,1508035161910
240,Jackson Brooks,81,San Francisco,1507868029776
241,Asher Erickson,83,Albuquerque,1508143836599
242,Kyndal Rice,82,Chandler,1507625107897
243,Teagan Shepherd,30,Allentown,1507725301626
244,Vincenzo Santiago,85,Cary,1508102845296
245,Maddison Horton,71,Des Moines,1507598659520
246,Maddox Maxwell,63,Norfolk,1507871585262
247,Sarai Nolan,64,Tulsa,1507719277484
248,Shania Johns,15,Olathe,1507803955860
249,Abril Cox,58,West Valley City,1507808455726
250,Zain Mayer,28,Fort Collins,1507767287130
251,Aaliyah Burris,30,Hampton,1507916540054
252,Jaelynn Buckner,29,Surprise,1508141634985
253,Luciano Carey,17,Stamford,1507627191956
254,Carleigh Whitney,60,St. Petersburg,1507949117984
255,Brooks Ruiz,98,Tucson,1508171438219
256,Seth Lara,17,Sacramento,1507838500593
257,Walter Cote,76,Santa Ana,1507995729567
258,Kendrick Harrington,81,Surprise,1507773472838
259,Brianna Flynn,53,Fort Lauderdale,1507765140386
260,Amirah Stark,62,Peoria,1508063871777
261,Maximilian Jones,48,Plano,1507986803159
262,Rebecca Nicholson,71,Overland Park,1508128060756
263,Desmond Rodriguez,58,Jersey City,1507788967729
264,Justus Mccormick,44,Eugene,1508099085627
265,Ean Wiley,82,Coral Springs,1508093084421
266,Alicia Rollins,82,Winston-salem,1508040280015
267,Aiyana Griffin,19,Tempe,1507903306853
268,Lyric Bernard,94,Chesapeake,1507840073345
269,Giselle Meadows,59,Fontana,1507605214614
270,Gabriela Bridges,33,Augusta,1508167501321
271,Osvaldo Serrano,60,San Francisco,1508083500233
272,Leanna Larsen,14,Boise City,1507610263103
273,River Workman,39,Surprise,1507742711078
274,Paulina Dominguez,90,Laredo,1507742147319
275,Rose Bruce,22,Charlotte,1507793205311
276,Ty Kent,96,Philadelphia,1507902890180
277,Hezekiah Thornton,93,Coral Springs,1507961164325
278,Jack Austin,59,Fayetteville,1507689185676
279,Chaya Morgan,86,Milwaukee,1508014031210
280,Teresa Stevens,34,Albuquerque,1507945811054
281,Braylee Rose,78,Columbia,1507711343031
282,Carolyn Bernard,26,Reno,1507662171823
283,Jordyn Mcconnell,81,Baton Rouge,1507788980241
284,London David,78,Jackson,1507953422541
285,Kaylin Richardson,14,Allentown,1507888567534
286,Kyron Vaughan,54,Raleigh,1507878374441
287,Angel Bolton,81,Joliet,1507672204344
288,Bryce Hartman,77,St. Petersburg,1507737270891
289,Gianna Shaw,77,Allentown,1507842955815
290,Saige Hogan,72,St. Louis,1507683989083
291,Journee Fitzgerald,67,Murfreesboro,1508056702734
292,Gracelyn Petty,58,Evansville,1508024841097
293,Amelia Koch,85,Overland Park,1508103481271
294,Lincoln Dillard,48,Elizabeth,1507710326239
295,Giuliana Horne,33,Durham,1507797825339
296,Hamza Medina,85,Wichita,1508043226926
297,Aliya Camacho,76,Orlando,1507618902210
298,Briella Dickerson,35,Pittsburgh,1508156076413
299,Fatima Bradshaw,47,Philadelphia,1508165606034
300,Carley Day,65,Louisville,1507668914872
